거래년월일,광주각화도매,대구북부도매,대전오정도매,부산엄궁도매,서울가락도매
2015-01-20,0,0,0,0,30
2015-01-22,0,0,0,0,30
2015-01-24,0,0,5,0,0
2015-01-27,0,0,5,0,0
2015-01-28,0,0,0,0,20
2015-01-29,0,0,5,0,50
2015-01-30,0,0,0,0,10
2015-01-31,0,0,0,0,30
2015-02-02,14,0,7,0,85
2015-02-03,0,0,0,0,30
2015-02-04,20,0,2,0,160
2015-02-05,0,0,5,0,105
2015-02-06,0,0,7,0,30
2015-02-07,22,0,0,0,130
2015-02-09,15,0,2,10,95
2015-02-10,2,15,10,0,245
2015-02-11,0,30,17,35,240
2015-02-12,20,62,17,45,215
2015-02-13,0,52,17,35,375
2015-02-14,60,77,47,44,395
2015-02-16,51,182,42,150,685
2015-02-17,68,62,10,84,375
2015-02-18,0,0,2,4,95
2015-02-23,135,112,10,0,560
2015-02-24,140,80,25,150,590
2015-02-25,70,140,42,144,778
2015-02-26,220,110,50,152,705
2015-02-27,150,110,0,130,645
2015-02-28,110,160,20,0,660
2015-03-02,255,130,40,134,1030
2015-03-03,170,150,55,150,655
2015-03-04,175,160,35,130,869
2015-03-05,200,160,40,32,900
2015-03-06,120,150,55,10,885
2015-03-07,195,200,65,30,1090
2015-03-09,415,340,70,290,1355
2015-03-10,260,309,70,408,1162
2015-03-11,190,212,50,190,925
2015-03-12,160,162,42,520,820
2015-03-13,200,411,80,470,1300
2015-03-14,365,436,102,430,1495
2015-03-16,375,337,130,410,1264
2015-03-17,270,348,90,100,935
2015-03-18,200,379,110,230,1004
2015-03-19,180,210,70,220,763
2015-03-20,360,440,110,330,1102
2015-03-21,325,444,138,300,1242
2015-03-23,295,671,160,290,1142
2015-03-24,230,330,120,300,1169
2015-03-25,470,402,130,210,1225
2015-03-26,390,430,140,280,1303
2015-03-27,465,658,160,440,1269
2015-03-28,360,520,150,318,1274
2015-03-30,658,840,150,470,1365
2015-03-31,685,670,88,548,1313
2015-04-01,365,590,180,550,1445
2015-04-02,445,500,140,375,1496
2015-04-03,845,750,145,458,1706
2015-04-04,650,885,120,448,1650
2015-04-06,685,695,160,738,1575
2015-04-07,640,700,150,430,1305
2015-04-08,535,550,170,673,1524
2015-04-09,325,370,130,489,1380
2015-04-10,360,740,130,718,1366
2015-04-11,395,680,138,660,1560
2015-04-13,660,715,120,790,1712
2015-04-14,430,580,110,325,1584
2015-04-15,535,700,140,663,1431
2015-04-16,365,790,160,560,1637
2015-04-17,555,790,80,670,1628
2015-04-18,540,865,130,450,1789
2015-04-20,590,760,160,530,1765
2015-04-21,550,820,130,500,1860
2015-04-22,675,810,150,780,1694
2015-04-23,430,780,120,500,1655
2015-04-24,710,810,120,690,1783
2015-04-25,655,695,110,470,2160
2015-04-27,675,1315,150,720,2292
2015-04-28,520,720,140,520,2287
2015-04-29,575,910,140,610,2100
2015-04-30,825,610,130,465,2595
2015-05-01,460,950,145,540,2415
2015-05-02,725,935,165,280,2362
2015-05-04,725,965,170,685,2382
2015-05-05,715,935,140,550,2602
2015-05-06,695,990,200,720,2838
2015-05-07,805,995,225,860,2366
2015-05-08,800,960,175,640,2168
2015-05-09,790,975,205,540,2123
2015-05-11,1020,945,195,580,2553
2015-05-12,915,1034,198,580,2141
2015-05-13,1005,990,160,580,2360
2015-05-14,1060,940,145,579,2090
2015-05-15,892,925,140,590,2130
2015-05-16,755,935,150,590,2018
2015-05-18,1130,950,190,560,2756
2015-05-19,1115,1175,170,550,2098
2015-05-20,1070,1130,185,540,2313
2015-05-21,1207,1050,150,555,2188
2015-05-22,980,915,170,565,2389
2015-05-23,1010,1130,130,575,2157
2015-05-25,935,860,160,550,2619
2015-05-26,790,790,170,550,2214
2015-05-27,890,910,130,520,2080
2015-05-28,725,910,180,590,1984
2015-05-29,800,1010,180,630,2347
2015-05-30,855,890,130,573,2407
2015-06-01,910,840,160,730,2754
2015-06-02,510,820,150,670,3687
2015-06-03,745,820,140,780,2227
2015-06-04,735,830,165,690,2232
2015-06-05,582,820,130,670,2733
2015-06-06,1025,1075,130,649,2089
2015-06-08,935,925,170,720,2219
2015-06-09,645,800,160,670,2459
2015-06-10,825,970,175,600,2443
2015-06-11,730,985,185,690,2219
2015-06-12,750,1160,165,760,2444
2015-06-13,910,990,165,790,2625
2015-06-15,920,1007,145,690,2669
2015-06-16,1085,790,165,670,2554
2015-06-17,910,1065,190,650,2264
2015-06-18,925,1045,145,610,2200
2015-06-19,1070,945,160,740,2034
2015-06-20,1125,1235,135,600,2384
2015-06-22,880,885,135,550,2202
2015-06-23,985,925,164,480,1954
2015-06-24,1060,1085,155,480,2007
2015-06-25,897,900,145,750,2164
2015-06-26,785,1040,155,660,1765
2015-06-27,980,880,145,510,2041
2015-06-29,1165,890,145,429,2090
2015-06-30,995,870,135,390,2007
2015-07-01,885,930,150,650,2110
2015-07-02,1010,985,145,633,2060
2015-07-03,1085,1145,175,590,1941
2015-07-04,1045,1080,175,495,2125
2015-07-06,1000,940,190,681,2087
2015-07-07,740,920,155,490,2049
2015-07-08,770,740,185,540,2085
2015-07-09,560,660,145,330,1822
2015-07-10,915,775,140,300,1875
2015-07-11,875,855,165,603,1790
2015-07-13,545,685,130,310,1809
2015-07-14,465,385,175,280,1880
2015-07-15,775,860,165,345,2365
2015-07-16,725,920,125,420,1545
2015-07-17,585,875,140,410,1510
2015-07-18,625,820,195,490,1861
2015-07-20,535,860,130,555,2020
2015-07-21,545,520,140,175,1825
2015-07-22,685,830,130,305,1850
2015-07-23,645,830,135,265,1578
2015-07-24,370,710,115,340,1758
2015-07-25,745,510,140,730,1538
2015-07-27,570,580,155,260,1915
2015-07-28,555,660,135,95,1425
2015-07-29,720,650,130,355,1920
2015-07-30,520,677,150,680,1834
2015-07-31,540,770,125,515,1937
2015-08-01,670,470,0,241,0
2015-08-03,410,650,145,285,1715
2015-08-04,250,440,140,235,1499
2015-08-05,415,630,140,280,1340
2015-08-06,470,565,150,110,1519
2015-08-07,380,320,110,290,1350
2015-08-08,350,30,100,210,1675
2015-08-10,355,480,105,400,1515
2015-08-11,315,478,130,263,1605
2015-08-12,240,440,110,250,1303
2015-08-13,280,480,140,404,1395
2015-08-14,395,450,110,420,1498
2015-08-15,260,309,110,190,1400
2015-08-17,240,490,100,345,1385
2015-08-18,180,250,80,210,1400
2015-08-19,200,410,110,290,1329
2015-08-20,280,320,80,370,1579
2015-08-21,170,350,120,270,1495
2015-08-22,135,330,140,360,1740
2015-08-24,365,510,145,350,1915
2015-08-25,25,170,60,155,1490
2015-08-26,80,290,80,310,1214
