,거래년월일,광주각화도매,대구북부도매,대전오정도매,부산엄궁도매,서울가락도매,day,month
0,2015-01-20,0,0,0,0,300,Tuesday,January
1,2015-01-22,0,0,0,0,500,Thursday,January
2,2015-01-24,0,0,1275,0,0,Saturday,January
3,2015-01-27,0,0,850,0,0,Tuesday,January
4,2015-01-28,0,0,0,0,3500,Wednesday,January
5,2015-01-29,0,0,1125,0,1900,Thursday,January
6,2015-01-30,0,0,0,0,4800,Friday,January
7,2015-01-31,0,0,0,0,4900,Saturday,January
8,2015-02-02,4240,0,1200,0,8050,Monday,February
9,2015-02-03,0,0,0,0,4300,Tuesday,February
10,2015-02-04,8300,0,280,0,14150,Wednesday,February
11,2015-02-05,0,0,1250,0,7575,Thursday,February
12,2015-02-06,0,0,1135,0,6850,Friday,February
13,2015-02-07,3520,0,0,0,14250,Saturday,February
14,2015-02-09,3750,0,400,725,10300,Monday,February
15,2015-02-10,288,2025,2000,0,24300,Tuesday,February
16,2015-02-11,0,9700,4815,6175,36050,Wednesday,February
17,2015-02-12,7100,19870,5595,4925,41600,Thursday,February
18,2015-02-13,0,18499,6305,7525,72850,Friday,February
19,2015-02-14,11300,36425,15955,9781,55275,Saturday,February
20,2015-02-16,13952,49880,14666,8200,157325,Monday,February
21,2015-02-17,10752,14120,3700,15060,45625,Tuesday,February
22,2015-02-18,0,0,296,1016,12250,Wednesday,February
23,2015-02-23,37450,26580,5000,0,211925,Monday,February
24,2015-02-24,31800,9100,11975,13500,134325,Tuesday,February
25,2015-02-25,6100,22600,16380,13440,127270,Wednesday,February
26,2015-02-26,18900,10600,22100,10940,110525,Thursday,February
27,2015-02-27,29500,24300,0,11200,101350,Friday,February
28,2015-02-28,9900,23000,2700,0,169725,Saturday,February
29,2015-03-02,68800,16300,25100,7640,316025,Monday,March
30,2015-03-03,19700,21700,12650,15300,150200,Tuesday,March
31,2015-03-04,30100,22000,31425,11900,230487,Wednesday,March
32,2015-03-05,19100,28200,27700,11388,216925,Thursday,March
33,2015-03-06,25200,31200,32375,2200,304050,Friday,March
34,2015-03-07,61550,31100,48000,5400,356475,Saturday,March
35,2015-03-09,97050,81800,55500,39400,599875,Monday,March
36,2015-03-10,45200,68631,41200,53964,468820,Tuesday,March
37,2015-03-11,60600,46520,62400,58800,466675,Wednesday,March
38,2015-03-12,36100,46150,36720,72500,276450,Thursday,March
39,2015-03-13,79050,68665,72800,62500,516125,Friday,March
40,2015-03-14,81000,62593,59820,69756,586350,Saturday,March
41,2015-03-16,122650,64987,117000,63636,612631,Monday,March
42,2015-03-17,45550,47764,38500,25900,375925,Tuesday,March
43,2015-03-18,39800,49081,16800,44300,303823,Wednesday,March
44,2015-03-19,32600,32800,12400,16600,300044,Thursday,March
45,2015-03-20,78150,56100,32000,23600,520113,Friday,March
46,2015-03-21,95400,60490,92164,30600,499714,Saturday,March
47,2015-03-23,70025,121465,89700,42800,606410,Monday,March
48,2015-03-24,35625,58100,44800,32500,421180,Tuesday,March
49,2015-03-25,54425,48538,47100,28200,441225,Wednesday,March
50,2015-03-26,71900,61400,46800,48600,474306,Thursday,March
51,2015-03-27,95400,84264,90300,52200,511212,Friday,March
52,2015-03-28,108700,89800,134300,52264,643756,Saturday,March
53,2015-03-30,143362,171500,96400,88500,932150,Monday,March
54,2015-03-31,112775,114800,66064,105564,672741,Tuesday,March
55,2015-04-01,79950,130100,196000,63900,779300,Wednesday,April
56,2015-04-02,110150,131800,138500,200300,859715,Thursday,April
57,2015-04-03,183350,120400,118400,75664,812823,Friday,April
58,2015-04-04,161475,158150,108900,64764,942283,Saturday,April
59,2015-04-06,136925,136350,156700,109664,1190285,Monday,April
60,2015-04-07,86850,203600,114300,73900,920730,Tuesday,April
61,2015-04-08,103125,131400,139900,123764,943207,Wednesday,April
62,2015-04-09,87850,129100,94600,104381,695800,Thursday,April
63,2015-04-10,105650,153900,113400,115464,707773,Friday,April
64,2015-04-11,97800,129500,103664,107000,804275,Saturday,April
65,2015-04-13,187650,197150,120200,103400,1188381,Monday,April
66,2015-04-14,83025,112000,94300,45725,709646,Tuesday,April
67,2015-04-15,154700,193600,148700,123664,951993,Wednesday,April
68,2015-04-16,122050,134100,165800,108700,816073,Thursday,April
69,2015-04-17,109750,162600,106300,112900,926308,Friday,April
70,2015-04-18,147800,183750,155700,105800,942517,Saturday,April
71,2015-04-20,137800,200700,154000,116400,1078156,Monday,April
72,2015-04-21,165700,190600,111000,85400,876240,Tuesday,April
73,2015-04-22,149575,157100,112900,128000,865430,Wednesday,April
74,2015-04-23,132600,166600,93000,110800,856832,Thursday,April
75,2015-04-24,183850,242700,146800,122700,1063644,Friday,April
76,2015-04-25,238300,212700,163300,124100,1307539,Saturday,April
77,2015-04-27,223950,187150,156100,138100,1431475,Monday,April
78,2015-04-28,153550,153500,139900,104200,1032323,Tuesday,April
79,2015-04-29,175650,243500,116700,143300,1159413,Wednesday,April
80,2015-04-30,145550,156900,117500,118400,1114827,Thursday,April
81,2015-05-01,163050,208300,143350,104500,1192750,Friday,May
82,2015-05-02,217225,253500,164850,101100,1285799,Saturday,May
83,2015-05-04,261425,342950,297550,262650,1795404,Monday,May
84,2015-05-05,361900,290800,218600,246900,1700286,Tuesday,May
85,2015-05-06,269300,278825,319050,247700,1917466,Wednesday,May
86,2015-05-07,274025,419950,344450,254800,2213565,Thursday,May
87,2015-05-08,297200,368450,229500,293200,2080685,Friday,May
88,2015-05-09,286000,323150,235750,279400,1995569,Saturday,May
89,2015-05-11,432350,379850,437475,274000,2719877,Monday,May
90,2015-05-12,275150,394900,268239,297100,2185019,Tuesday,May
91,2015-05-13,474625,388000,329625,362200,2600800,Wednesday,May
92,2015-05-14,469725,408275,280900,388381,2820755,Thursday,May
93,2015-05-15,388624,347950,248900,389900,2698925,Friday,May
94,2015-05-16,431050,422075,381225,401100,3091966,Saturday,May
95,2015-05-18,504800,514875,419450,430600,3719159,Monday,May
96,2015-05-19,401750,431550,355750,372700,2840360,Tuesday,May
97,2015-05-20,516075,395925,360550,344700,3137794,Wednesday,May
98,2015-05-21,379647,359050,302800,354800,2476240,Thursday,May
99,2015-05-22,364250,371675,304000,380600,2491260,Friday,May
100,2015-05-23,394025,455700,314800,423350,2464327,Saturday,May
101,2015-05-25,496850,298200,253000,229300,3123161,Monday,May
102,2015-05-26,197575,212800,90300,210000,1829204,Tuesday,May
103,2015-05-27,269850,276500,165200,229400,1975575,Wednesday,May
104,2015-05-28,266025,288300,274800,248800,1896057,Thursday,May
105,2015-05-29,283000,324300,349400,233200,1942867,Friday,May
106,2015-05-30,303575,320000,280700,227408,2136510,Saturday,May
107,2015-06-01,356125,340900,383900,352900,2594812,Monday,June
108,2015-06-02,287000,206900,309200,203900,3852763,Tuesday,June
109,2015-06-03,266550,273400,230700,264100,1826824,Wednesday,June
110,2015-06-04,317175,307600,272700,307400,2076245,Thursday,June
111,2015-06-05,268392,300300,282600,317900,2471804,Friday,June
112,2015-06-06,417600,550650,353200,288781,2657991,Saturday,June
113,2015-06-08,465725,386300,471500,343800,3060351,Monday,June
114,2015-06-09,339800,339800,339300,307100,2532130,Tuesday,June
115,2015-06-10,462525,379000,420250,415800,3348209,Wednesday,June
116,2015-06-11,387175,388950,392550,477700,2986866,Thursday,June
117,2015-06-12,329100,417850,454450,457100,3467556,Friday,June
118,2015-06-13,456450,453575,515075,424400,3783159,Saturday,June
119,2015-06-15,545750,526549,608700,536300,4515856,Monday,June
120,2015-06-16,564400,399825,536025,391300,3493856,Tuesday,June
121,2015-06-17,445800,484500,564100,445600,3485521,Wednesday,June
122,2015-06-18,418125,408500,449550,514700,3489375,Thursday,June
123,2015-06-19,472700,410150,460950,533400,3753599,Friday,June
124,2015-06-20,455125,421800,431400,461200,3712356,Saturday,June
125,2015-06-22,477225,462125,474000,481000,3922658,Monday,June
126,2015-06-23,388475,370425,415947,292400,2977809,Tuesday,June
127,2015-06-24,395025,343350,368175,368000,2901419,Wednesday,June
128,2015-06-25,430908,342000,431350,388000,3096237,Thursday,June
129,2015-06-26,403725,385000,396200,325300,3114625,Friday,June
130,2015-06-27,437100,385700,358500,292100,3272359,Saturday,June
131,2015-06-29,538525,429600,358650,393954,3859227,Monday,June
132,2015-06-30,342900,297000,246050,216500,3038405,Tuesday,June
133,2015-07-01,402750,340200,366200,274200,2948150,Wednesday,July
134,2015-07-02,412250,333450,339700,323027,3381364,Thursday,July
135,2015-07-03,405050,335050,501175,321700,3160951,Friday,July
136,2015-07-04,486075,366800,433400,592750,3590125,Saturday,July
137,2015-07-06,564400,357900,530975,371972,4357066,Monday,July
138,2015-07-07,435675,382200,368550,284900,3319800,Tuesday,July
139,2015-07-08,318600,234800,343850,215100,3076475,Wednesday,July
140,2015-07-09,225650,211500,230250,102600,2127795,Thursday,July
141,2015-07-10,295400,225850,242800,202000,2161925,Friday,July
142,2015-07-11,360150,369750,321850,298991,2999548,Saturday,July
143,2015-07-13,201450,239125,306200,170400,2397407,Monday,July
144,2015-07-14,215975,127700,203700,127400,1825550,Tuesday,July
145,2015-07-15,341200,224800,414100,233050,2583045,Wednesday,July
146,2015-07-16,310725,173100,238350,196900,2272350,Thursday,July
147,2015-07-17,214275,230775,278800,155275,2052525,Friday,July
148,2015-07-18,218625,197000,343350,176100,2185248,Saturday,July
149,2015-07-20,204250,204300,238200,190350,2133251,Monday,July
150,2015-07-21,172550,146200,159300,91050,1648850,Tuesday,July
151,2015-07-22,246325,238900,200800,163425,2200925,Wednesday,July
152,2015-07-23,201550,212100,229800,135450,2212934,Thursday,July
153,2015-07-24,145975,161300,179450,130200,1775231,Friday,July
154,2015-07-25,284825,158700,276700,182200,2148960,Saturday,July
155,2015-07-27,153200,163000,222900,147900,1636650,Monday,July
156,2015-07-28,147875,146500,128500,87925,1150309,Tuesday,July
157,2015-07-29,193800,185400,182100,207900,1856725,Wednesday,July
158,2015-07-30,200200,209898,231800,174700,1910616,Thursday,July
159,2015-07-31,237100,188100,245800,133575,2132394,Friday,July
160,2015-08-01,171275,153200,0,147886,0,Saturday,August
161,2015-08-03,156450,160600,248700,147375,1926655,Monday,August
162,2015-08-04,88900,78700,165300,58100,1232851,Tuesday,August
163,2015-08-05,97400,78800,189200,96300,1241325,Wednesday,August
164,2015-08-06,84900,96725,150000,67000,1070609,Thursday,August
165,2015-08-07,98200,143500,128600,148600,1056125,Friday,August
166,2015-08-08,96725,32700,170800,65700,979200,Saturday,August
167,2015-08-10,101650,112200,145550,130100,1265850,Monday,August
168,2015-08-11,106150,123184,129400,70174,1086475,Tuesday,August
169,2015-08-12,45925,125800,106400,89000,1080506,Wednesday,August
170,2015-08-13,73100,96700,125400,71612,838950,Thursday,August
171,2015-08-14,57700,112800,158200,101800,1017147,Friday,August
172,2015-08-15,61500,95401,133800,30500,742000,Saturday,August
173,2015-08-17,46100,56700,136600,55950,704400,Monday,August
174,2015-08-18,31200,38100,80100,50500,607275,Tuesday,August
175,2015-08-19,24200,96200,85100,59600,549482,Wednesday,August
