,거래년월일,거래량
0,2015-01-19,10
1,2015-01-20,320
2,2015-01-22,360
3,2015-01-24,255
4,2015-01-26,115
5,2015-01-27,255
6,2015-01-28,770
7,2015-01-29,2302
8,2015-01-30,480
9,2015-01-31,1600
10,2015-02-02,3000
11,2015-02-03,1498
12,2015-02-04,5025
13,2015-02-05,1795
14,2015-02-06,3064
15,2015-02-07,3746
16,2015-02-09,8699
17,2015-02-10,6659
18,2015-02-11,14162
19,2015-02-12,21050
20,2015-02-13,32239
21,2015-02-14,36531
22,2015-02-15,1275
23,2015-02-16,61720
24,2015-02-17,31321
25,2015-02-18,5940
26,2015-02-23,46164
27,2015-02-24,39634
28,2015-02-25,40706
29,2015-02-26,32006
30,2015-02-27,36233
31,2015-02-28,41675
32,2015-03-02,78235
33,2015-03-03,53056
34,2015-03-04,66413
35,2015-03-05,64789
36,2015-03-06,85342
37,2015-03-07,123255
38,2015-03-09,183454
39,2015-03-10,152310
40,2015-03-11,139892
41,2015-03-12,110858
42,2015-03-13,159880
43,2015-03-14,183889
44,2015-03-16,209539
45,2015-03-17,142950
46,2015-03-18,104501
47,2015-03-19,82416
48,2015-03-20,139438
49,2015-03-21,169682
50,2015-03-23,202613
51,2015-03-24,138920
52,2015-03-25,152523
53,2015-03-26,168811
54,2015-03-27,205417
55,2015-03-28,243090
56,2015-03-30,343275
57,2015-03-31,282725
58,2015-04-01,274359
59,2015-04-02,317927
60,2015-04-03,297945
61,2015-04-04,344042
62,2015-04-06,420550
63,2015-04-07,327661
64,2015-04-08,340212
65,2015-04-09,282423
66,2015-04-10,286038
67,2015-04-11,279874
68,2015-04-13,425441
69,2015-04-14,283941
70,2015-04-15,375361
71,2015-04-16,327439
72,2015-04-17,340441
73,2015-04-18,397951
74,2015-04-20,432375
75,2015-04-21,366800
76,2015-04-22,393331
77,2015-04-23,347654
78,2015-04-24,422233
79,2015-04-25,479073
80,2015-04-27,576800
81,2015-04-28,431774
82,2015-04-29,469686
83,2015-04-30,414686
84,2015-05-01,452625
85,2015-05-02,508067
86,2015-05-04,763160
87,2015-05-05,697076
88,2015-05-06,778381
89,2015-05-07,836241
90,2015-05-08,822880
91,2015-05-09,723742
92,2015-05-11,1066700
93,2015-05-12,834873
94,2015-05-13,1014217
95,2015-05-14,1057957
96,2015-05-15,970038
97,2015-05-16,1046761
98,2015-05-18,1345545
99,2015-05-19,1076810
100,2015-05-20,1111936
101,2015-05-21,848854
102,2015-05-22,881689
103,2015-05-23,951886
104,2015-05-25,980529
105,2015-05-26,662621
106,2015-05-27,676660
107,2015-05-28,694398
108,2015-05-29,791292
109,2015-05-30,797843
110,2015-06-01,1015953
111,2015-06-02,707979
112,2015-06-03,753896
113,2015-06-04,828334
114,2015-06-05,929206
115,2015-06-06,1051883
116,2015-06-08,1211859
117,2015-06-09,995220
118,2015-06-10,1231848
119,2015-06-11,1117526
120,2015-06-12,1239001
121,2015-06-13,1315848
122,2015-06-15,1581497
123,2015-06-16,1300649
124,2015-06-17,1255562
125,2015-06-18,1243800
126,2015-06-19,1275745
127,2015-06-20,1139712
128,2015-06-22,1329761
129,2015-06-23,1012879
130,2015-06-24,994552
131,2015-06-25,1036052
132,2015-06-26,1049920
133,2015-06-27,987033
134,2015-06-29,1295028
135,2015-06-30,948049
136,2015-07-01,995180
137,2015-07-02,1116132
138,2015-07-03,1056687
139,2015-07-04,1165610
140,2015-07-06,1468382
141,2015-07-07,1062534
142,2015-07-08,941760
143,2015-07-09,624970
144,2015-07-10,664555
145,2015-07-11,867136
146,2015-07-13,697203
147,2015-07-14,520025
148,2015-07-15,781287
149,2015-07-16,692003
150,2015-07-17,632656
151,2015-07-18,604703
152,2015-07-20,636471
153,2015-07-21,477927
154,2015-07-22,636919
155,2015-07-23,604329
156,2015-07-24,529288
157,2015-07-25,603130
158,2015-07-27,541560
159,2015-07-28,396623
160,2015-07-29,566927
161,2015-07-30,570428
162,2015-07-31,608925
163,2015-08-01,205032
164,2015-08-03,536930
165,2015-08-04,370524
166,2015-08-05,373066
167,2015-08-06,341973
168,2015-08-07,320409
169,2015-08-08,307250
170,2015-08-10,378180
171,2015-08-11,363965
172,2015-08-12,279597
173,2015-08-13,296453
174,2015-08-14,314793
175,2015-08-15,239484
176,2015-08-17,215965
177,2015-08-18,207362
178,2015-08-19,177457
179,2015-08-20,210597
180,2015-08-21,178060
181,2015-08-22,244570
182,2015-08-24,269597
183,2015-08-25,174905
184,2015-08-26,120162
185,2015-08-27,227870
186,2015-08-28,212309
187,2015-08-29,246965
188,2015-08-31,212559
189,2015-09-01,209355
190,2015-09-02,215243
191,2015-09-03,274580
192,2015-09-04,217703
193,2015-09-05,257606
194,2015-09-07,261185
195,2015-09-08,200145
196,2015-09-09,177645
197,2015-09-10,224288
198,2015-09-11,194665
199,2015-09-12,196645
200,2015-09-14,219268
201,2015-09-15,187375
202,2015-09-16,166854
203,2015-09-17,191345
204,2015-09-18,147910
205,2015-09-19,149055
206,2015-09-20,1090
207,2015-09-21,170475
208,2015-09-22,250380
209,2015-09-23,334295
210,2015-09-24,407982
211,2015-09-25,162749
212,2015-09-26,11704
213,2015-09-30,18520
214,2015-10-01,107365
215,2015-10-02,87380
216,2015-10-03,117604
217,2015-10-05,92740
218,2015-10-06,85440
219,2015-10-07,40550
220,2015-10-08,54550
221,2015-10-09,29910
222,2015-10-10,32945
223,2015-10-12,24560
224,2015-10-13,41144
225,2015-10-14,12965
226,2015-10-15,33790
227,2015-10-16,9535
228,2015-10-17,25640
229,2015-10-19,5695
230,2015-10-20,15960
231,2015-10-21,5100
232,2015-10-22,9880
233,2015-10-23,650
234,2015-10-24,16675
235,2015-10-26,3140
236,2015-10-27,7570
237,2015-10-28,670
238,2015-10-29,2270
239,2015-10-30,270
240,2015-10-31,830
241,2015-11-02,1190
242,2015-11-03,2150
243,2015-11-04,820
244,2015-11-05,20
245,2015-11-06,70
246,2015-11-07,1020
247,2015-11-09,150
248,2015-11-10,5106
249,2015-11-13,200
250,2015-11-16,60
251,2015-11-19,130
252,2015-11-20,7500
253,2015-12-25,280
254,2016-01-12,260
255,2016-01-15,480
256,2016-01-16,170
257,2016-01-18,280
258,2016-01-19,325
259,2016-01-20,345
260,2016-01-21,210
261,2016-01-22,720
262,2016-01-23,1800
263,2016-01-25,966
264,2016-01-26,1580
265,2016-01-27,2818
266,2016-01-28,5586
267,2016-01-29,6951
268,2016-01-30,12021
269,2016-01-31,150
270,2016-02-01,24342
271,2016-02-02,24368
272,2016-02-03,25020
273,2016-02-04,23349
274,2016-02-05,31381
275,2016-02-06,12639
276,2016-02-07,1005
277,2016-02-11,8927
278,2016-02-12,23497
279,2016-02-13,21204
280,2016-02-15,22153
281,2016-02-16,26829
282,2016-02-17,23975
283,2016-02-18,26374
284,2016-02-19,45906
285,2016-02-20,50551
286,2016-02-22,78819
287,2016-02-23,45857
288,2016-02-24,65908
289,2016-02-25,82229
290,2016-02-26,109974
291,2016-02-27,90653
292,2016-02-29,128674
293,2016-03-01,74867
294,2016-03-02,101008
295,2016-03-03,158577
296,2016-03-04,212620
297,2016-03-05,187745
298,2016-03-07,309295
299,2016-03-08,262152
300,2016-03-09,247360
301,2016-03-10,212565
302,2016-03-11,171840
303,2016-03-12,146164
304,2016-03-14,177420
305,2016-03-15,139320
306,2016-03-16,126011
307,2016-03-17,86940
308,2016-03-18,59977
309,2016-03-19,106359
310,2016-03-21,138709
311,2016-03-22,90932
312,2016-03-23,60246
313,2016-03-24,66366
314,2016-03-25,95100
315,2016-03-26,150767
316,2016-03-28,139672
317,2016-03-29,121116
318,2016-03-30,132350
319,2016-03-31,150796
320,2016-04-01,172121
321,2016-04-02,258743
322,2016-04-04,319459
323,2016-04-05,280491
324,2016-04-06,264180
325,2016-04-07,193745
326,2016-04-08,208814
327,2016-04-09,254634
328,2016-04-11,303483
329,2016-04-12,275177
330,2016-04-13,282276
331,2016-04-14,300276
332,2016-04-15,348714
333,2016-04-16,276840
334,2016-04-18,415542
335,2016-04-19,360127
336,2016-04-20,475487
337,2016-04-21,429697
338,2016-04-22,475279
339,2016-04-23,551985
340,2016-04-25,730424
341,2016-04-26,604239
342,2016-04-27,588945
343,2016-04-28,570883
344,2016-04-29,662868
345,2016-04-30,665004
346,2016-05-02,1052461
347,2016-05-03,815984
348,2016-05-04,1011052
349,2016-05-05,1029230
350,2016-05-06,906255
351,2016-05-07,1117566
352,2016-05-09,1359349
353,2016-05-10,1138869
354,2016-05-11,1342577
355,2016-05-12,1208064
356,2016-05-13,1223876
357,2016-05-14,830395
358,2016-05-16,1055293
359,2016-05-17,1050173
360,2016-05-18,1192298
361,2016-05-19,1065557
362,2016-05-20,1050296
363,2016-05-21,995040
364,2016-05-23,1263634
365,2016-05-24,939312
366,2016-05-25,986623
367,2016-05-26,814825
368,2016-05-27,935166
369,2016-05-28,974830
370,2016-05-30,1216547
371,2016-05-31,1024004
372,2016-06-01,1071808
373,2016-06-02,998527
374,2016-06-03,946462
375,2016-06-04,917271
376,2016-06-06,989961
377,2016-06-07,883192
378,2016-06-08,857933
379,2016-06-09,657186
380,2016-06-10,898520
381,2016-06-11,653260
382,2016-06-13,1049496
383,2016-06-14,908285
384,2016-06-15,984692
385,2016-06-16,710137
386,2016-06-17,835865
387,2016-06-18,755073
388,2016-06-20,915966
389,2016-06-21,944332
390,2016-06-22,823905
391,2016-06-23,831654
392,2016-06-24,812415
393,2016-06-25,763770
394,2016-06-27,940310
395,2016-06-29,995037
396,2016-06-30,1357674
397,2016-07-01,1359233
398,2016-07-02,1085300
399,2016-07-04,872850
400,2016-07-05,766595
401,2016-07-06,848865
402,2016-07-07,803075
403,2016-07-09,573849
404,2016-07-11,524795
405,2016-07-12,645675
406,2016-07-13,594990
407,2016-07-14,509115
408,2016-07-15,554779
409,2016-07-16,133395
410,2016-07-19,423825
411,2016-07-20,381895
412,2016-07-21,416311
413,2016-07-22,173325
414,2016-07-23,277029
415,2016-07-25,607353
416,2016-07-26,206757
417,2016-07-27,522200
418,2016-07-28,163790
419,2016-07-29,326666
420,2016-07-30,305194
421,2016-08-02,256152
422,2016-08-03,308133
423,2016-08-04,358157
424,2016-08-05,339655
425,2016-08-06,121699
426,2016-08-08,478073
427,2016-08-09,359286
428,2016-08-10,407459
429,2016-08-11,425341
430,2016-08-13,444093
431,2016-08-15,451304
432,2016-08-16,433181
433,2016-08-17,363161
434,2016-08-18,394220
435,2016-08-19,348170
436,2016-08-20,344544
437,2016-08-22,316600
438,2016-08-23,241580
439,2016-08-24,225382
440,2016-08-25,200604
441,2016-08-26,169865
442,2016-08-27,225994
443,2016-08-29,163345
444,2016-08-30,146942
445,2016-08-31,102969
446,2016-09-01,128449
447,2016-09-02,96501
448,2016-09-03,115892
449,2016-09-05,87622
450,2016-09-06,90210
451,2016-09-07,61543
452,2016-09-08,97578
453,2016-09-09,110918
454,2016-09-10,186240
455,2016-09-11,2340
456,2016-09-12,223059
457,2016-09-13,93640
458,2016-09-14,6040
459,2016-09-19,86290
460,2016-09-20,130709
461,2016-09-21,84365
462,2016-09-22,125055
463,2016-09-23,91380
464,2016-09-24,97854
465,2016-09-26,66875
466,2016-09-27,107616
467,2016-09-28,38430
468,2016-09-29,68690
469,2016-09-30,62367
470,2016-10-01,61309
471,2016-10-03,24330
472,2016-10-05,21970
473,2016-10-06,33826
474,2016-10-07,31410
475,2016-10-08,39560
476,2016-10-10,13400
477,2016-10-11,17805
478,2016-10-12,5090
479,2016-10-13,18480
480,2016-10-14,3440
481,2016-10-15,12650
482,2016-10-17,2190
483,2016-10-19,410
484,2016-10-20,4870
485,2016-10-22,5480
486,2016-10-24,1874
487,2016-10-25,3510
488,2016-10-27,2080
489,2016-10-31,510
490,2016-11-01,2090
491,2016-11-04,110
492,2016-11-05,280
493,2016-11-07,780
494,2016-11-08,720
495,2016-11-12,100
496,2016-11-14,780
497,2016-11-18,130
498,2016-11-21,1520
499,2016-11-26,780
500,2016-11-28,40
501,2016-12-01,620
502,2016-12-19,140
503,2016-12-20,410
504,2016-12-21,80
505,2016-12-22,900
506,2016-12-23,150
507,2016-12-27,250
508,2016-12-29,230
509,2016-12-30,700
510,2016-12-31,350
511,2017-01-03,580
512,2017-01-04,1240
513,2017-01-05,2250
514,2017-01-06,2220
515,2017-01-07,2360
516,2017-01-09,2040
517,2017-01-10,718
518,2017-01-11,3900
519,2017-01-12,2180
520,2017-01-13,2715
521,2017-01-14,4559
522,2017-01-16,1664
523,2017-01-17,5110
524,2017-01-18,7680
525,2017-01-19,5477
526,2017-01-20,9524
527,2017-01-23,16786
528,2017-01-25,23371
529,2017-01-26,18071
530,2017-01-27,2538
531,2017-01-31,105
532,2017-02-01,1540
533,2017-02-02,5826
534,2017-02-03,982
535,2017-02-04,516
536,2017-02-06,9645
537,2017-02-07,3825
538,2017-02-08,9011
539,2017-02-09,11000
540,2017-02-10,15674
541,2017-02-11,7816
542,2017-02-13,12273
543,2017-02-14,26826
544,2017-02-15,35621
545,2017-02-16,41999
546,2017-02-17,55302
547,2017-02-18,67110
548,2017-02-20,94635
549,2017-02-21,61061
550,2017-02-22,50278
551,2017-02-23,42809
552,2017-02-24,79460
553,2017-02-25,101714
554,2017-02-27,86208
555,2017-02-28,66290
556,2017-03-01,110025
557,2017-03-02,119859
558,2017-03-03,161959
559,2017-03-04,188930
560,2017-03-06,180789
561,2017-03-07,104344
562,2017-03-08,135684
563,2017-03-09,136589
564,2017-03-10,189637
565,2017-03-11,174874
566,2017-03-13,154683
567,2017-03-14,142118
568,2017-03-15,232848
569,2017-03-16,247692
570,2017-03-17,174767
571,2017-03-20,289512
572,2017-03-21,227478
573,2017-03-22,307564
574,2017-03-23,266882
575,2017-03-24,338890
576,2017-03-25,320786
577,2017-03-27,357194
578,2017-03-28,255740
579,2017-03-29,342919
580,2017-03-30,327285
581,2017-03-31,399228
582,2017-04-01,430288
583,2017-04-03,522165
584,2017-04-04,378914
585,2017-04-05,400881
586,2017-04-07,474975
587,2017-04-08,577592
588,2017-04-10,560105
589,2017-04-11,445761
590,2017-04-12,683969
591,2017-04-13,639392
592,2017-04-14,719063
593,2017-04-15,696130
594,2017-04-17,506717
595,2017-04-18,532230
596,2017-04-19,653080
597,2017-04-20,450816
598,2017-04-21,750447
599,2017-04-22,756377
600,2017-04-24,525848
601,2017-04-25,593912
602,2017-04-26,790853
603,2017-04-27,785174
604,2017-04-28,901474
605,2017-04-29,878575
606,2017-05-01,678578
607,2017-05-02,753315
608,2017-05-03,510406
609,2017-05-04,692079
610,2017-05-05,806202
611,2017-05-06,1022808
612,2017-05-08,811655
613,2017-05-09,560107
614,2017-05-10,710447
615,2017-05-11,863000
616,2017-05-12,825401
617,2017-05-13,965232
618,2017-05-15,1145239
619,2017-05-16,604050
620,2017-05-17,510135
621,2017-05-18,692973
622,2017-05-19,690835
623,2017-05-20,571965
624,2017-05-22,827035
625,2017-05-23,820813
626,2017-05-24,1143465
627,2017-05-25,1125790
628,2017-05-26,1142062
629,2017-05-27,1138102
630,2017-05-29,913763
631,2017-05-30,1078468
632,2017-05-31,1193524
633,2017-06-03,859806
634,2017-06-05,1120521
