거래년월일,거래량
2015-01-20,30
2015-01-31,40
2015-02-02,790
2015-02-04,2045
2015-02-05,810
2015-02-06,590
2015-02-07,2710
2015-02-09,2570
2015-02-10,2495
2015-02-11,5160
2015-02-12,5390
2015-02-13,11042
2015-02-14,12845
2015-02-15,420
2015-02-16,33705
2015-02-17,15225
2015-02-18,1285
2015-02-23,40965
2015-02-24,30575
2015-02-25,27488
2015-02-26,21980
2015-02-27,27645
2015-02-28,32595
2015-03-02,63251
2015-03-03,40820
2015-03-04,52758
2015-03-05,50916
2015-03-06,65959
2015-03-07,92976
2015-03-09,147223
2015-03-10,117247
2015-03-11,114195
2015-03-12,77657
2015-03-13,122915
2015-03-14,136624
2015-03-16,168571
2015-03-17,97803
2015-03-18,74074
2015-03-19,63193
2015-03-20,100488
2015-03-21,116675
2015-03-23,147330
2015-03-24,90310
2015-03-25,97050
2015-03-26,104376
2015-03-27,129056
2015-03-28,146608
2015-03-30,223949
2015-03-31,168576
2015-04-01,167082
2015-04-02,202587
2015-04-03,184959
2015-04-04,203376
2015-04-06,269163
2015-04-07,200244
2015-04-08,210490
2015-04-09,176209
2015-04-10,180273
2015-04-11,162112
2015-04-13,250621
2015-04-14,162886
2015-04-15,204902
2015-04-16,188350
2015-04-17,191761
2015-04-18,219252
2015-04-20,229505
2015-04-21,196545
2015-04-22,200346
2015-04-23,194570
2015-04-24,235338
2015-04-25,276713
2015-04-27,319010
2015-04-28,219439
2015-04-29,248921
2015-04-30,226851
2015-05-01,266595
2015-05-02,296114
2015-05-04,433397
2015-05-05,419118
2015-05-06,496564
2015-05-07,548599
2015-05-08,556040
2015-05-09,485560
2015-05-11,728534
2015-05-12,575815
2015-05-13,693007
2015-05-14,726808
2015-05-15,664253
2015-05-16,730287
2015-05-18,938315
2015-05-19,721610
2015-05-20,767996
2015-05-21,578444
2015-05-22,595800
2015-05-23,613760
2015-05-25,638554
2015-05-26,423366
2015-05-27,411215
2015-05-28,427585
2015-05-29,466172
2015-05-30,462199
2015-06-01,591133
2015-06-02,392898
2015-06-03,417986
2015-06-04,489803
2015-06-05,547134
2015-06-06,619048
2015-06-08,730004
2015-06-09,563410
2015-06-10,751308
2015-06-11,702521
2015-06-12,797791
2015-06-13,853378
2015-06-15,987624
2015-06-16,831134
2015-06-17,796164
2015-06-18,800950
2015-06-19,846646
2015-06-20,777447
2015-06-22,903591
2015-06-23,670866
2015-06-24,681597
2015-06-25,715012
2015-06-26,724880
2015-06-27,712717
2015-06-29,900535
2015-06-30,673427
2015-07-01,686555
2015-07-02,766977
2015-07-03,719145
2015-07-04,795820
2015-07-06,1010422
2015-07-07,728360
2015-07-08,649940
2015-07-09,440252
2015-07-10,416560
2015-07-11,563714
2015-07-13,458238
2015-07-14,329645
2015-07-15,489882
2015-07-16,440000
2015-07-17,399160
2015-07-18,380423
2015-07-20,400716
2015-07-21,294810
2015-07-22,418220
2015-07-23,389746
2015-07-24,334534
2015-07-25,417295
2015-07-27,330810
2015-07-28,245748
2015-07-29,378095
2015-07-30,359529
2015-07-31,387123
2015-08-01,123226
2015-08-03,359396
2015-08-04,227359
2015-08-05,230801
2015-08-06,203176
2015-08-07,198855
2015-08-08,176985
2015-08-10,239235
2015-08-11,209987
2015-08-12,190620
2015-08-13,162226
2015-08-14,174508
2015-08-15,132900
2015-08-17,117795
2015-08-18,101585
2015-08-19,98468
2015-08-20,104422
2015-08-21,104615
2015-08-22,118760
2015-08-24,150670
2015-08-25,81870
2015-08-26,67550
2015-08-27,97930
2015-08-28,115983
2015-08-29,144085
2015-08-31,120524
2015-09-01,112615
2015-09-02,130758
2015-09-03,152933
2015-09-04,139503
2015-09-05,144650
2015-09-07,171110
2015-09-08,109440
2015-09-09,111060
2015-09-10,135095
2015-09-11,115735
2015-09-12,112770
2015-09-14,130230
2015-09-15,92490
2015-09-16,92055
2015-09-17,98400
2015-09-18,81595
2015-09-19,80290
2015-09-20,320
2015-09-21,84655
2015-09-22,113391
2015-09-23,172505
2015-09-24,203085
2015-09-25,70555
2015-09-26,5705
2015-09-30,8840
2015-10-01,58710
2015-10-02,24280
2015-10-03,38810
2015-10-05,12925
2015-10-06,41920
2015-10-07,10870
2015-10-08,23565
2015-10-09,3970
2015-10-10,12350
2015-10-12,7260
2015-10-13,12360
2015-10-14,1640
2015-10-15,8680
2015-10-16,4010
2015-10-17,9450
2015-10-19,2590
2015-10-20,3160
2015-10-21,2140
2015-10-22,2720
2015-10-23,590
2015-10-24,6340
2015-10-26,1460
2015-10-27,1210
2015-10-29,480
2015-10-31,400
2015-11-02,1190
2015-11-03,420
2015-11-04,340
2015-11-10,280
2015-11-16,60
2015-12-25,280
2016-01-29,1310
2016-02-02,1546
2016-02-03,450
2016-02-04,1408
2016-02-05,2693
2016-02-06,1921
2016-02-11,7525
2016-02-12,15520
2016-02-13,16796
2016-02-15,17525
2016-02-16,18925
2016-02-17,16015
2016-02-18,19490
2016-02-19,36913
2016-02-20,38517
2016-02-22,67205
2016-02-23,35905
2016-02-24,51490
2016-02-25,64057
2016-02-26,93515
2016-02-27,76294
2016-02-29,102170
2016-03-01,60194
2016-03-02,86832
2016-03-03,124699
2016-03-04,172887
2016-03-05,143354
2016-03-07,247730
2016-03-08,184245
2016-03-09,194172
2016-03-10,155465
2016-03-11,130689
2016-03-12,103172
2016-03-14,115865
2016-03-15,91919
2016-03-16,84885
2016-03-17,55407
2016-03-18,41033
2016-03-19,55741
2016-03-21,85471
2016-03-22,45260
2016-03-23,28746
2016-03-24,27558
2016-03-25,48983
2016-03-26,77006
2016-03-28,66861
2016-03-29,57580
2016-03-30,70311
2016-03-31,72375
2016-04-01,83718
2016-04-02,138185
2016-04-04,169282
2016-04-05,151618
2016-04-06,140582
2016-04-07,97445
2016-04-08,113465
2016-04-09,135857
2016-04-11,148670
2016-04-12,138143
2016-04-13,164285
2016-04-14,188560
2016-04-15,194810
2016-04-16,160859
2016-04-18,239077
2016-04-19,189224
2016-04-20,274329
2016-04-21,266922
2016-04-22,292665
2016-04-23,341765
2016-04-25,454927
2016-04-26,378778
2016-04-27,386380
2016-04-28,375145
2016-04-29,417222
2016-04-30,402348
2016-05-02,686422
2016-05-03,546379
2016-05-04,650567
2016-05-05,698240
2016-05-06,609303
2016-05-07,753372
2016-05-09,942279
2016-05-10,792579
2016-05-11,953845
2016-05-12,827979
2016-05-13,832229
2016-05-14,512140
2016-05-16,734628
2016-05-17,712624
2016-05-18,769078
2016-05-19,690497
2016-05-20,684556
2016-05-21,650105
2016-05-23,820069
2016-05-24,602430
2016-05-25,603418
2016-05-26,410795
2016-05-27,603966
2016-05-28,618410
2016-05-30,727692
2016-05-31,622190
2016-06-01,660983
2016-06-02,599687
2016-06-03,587877
2016-06-04,575885
2016-06-06,600911
2016-06-07,505367
2016-06-08,516287
2016-06-09,368983
2016-06-10,524360
2016-06-11,313160
2016-06-13,581496
2016-06-14,563600
2016-06-15,642775
2016-06-16,445167
2016-06-17,531720
2016-06-18,486020
2016-06-20,598031
2016-06-21,645932
2016-06-22,557705
2016-06-23,564179
2016-06-24,541765
2016-06-25,518070
2016-06-27,631390
2016-06-29,644742
2016-06-30,1009432
2016-07-01,1022850
2016-07-02,793410
