연도,월,일,거래량
2015,January,20,30
2015,January,31,40
2015,February,2,790
2015,February,4,2045
2015,February,5,810
2015,February,6,590
2015,February,7,2710
2015,February,9,2570
2015,February,10,2495
2015,February,11,5160
2015,February,12,5390
2015,February,13,11042
2015,February,14,12845
2015,February,15,420
2015,February,16,33705
2015,February,17,15225
2015,February,18,1285
2015,February,23,40965
2015,February,24,30575
2015,February,25,27488
2015,February,26,21980
2015,February,27,27645
2015,February,28,32595
2015,March,2,63251
2015,March,3,40820
2015,March,4,52758
2015,March,5,50916
2015,March,6,65959
2015,March,7,92976
2015,March,9,147223
2015,March,10,117247
2015,March,11,114195
2015,March,12,77657
2015,March,13,122915
2015,March,14,136624
2015,March,16,168571
2015,March,17,97803
2015,March,18,74074
2015,March,19,63193
2015,March,20,100488
2015,March,21,116675
2015,March,23,147330
2015,March,24,90310
2015,March,25,97050
2015,March,26,104376
2015,March,27,129056
2015,March,28,146608
2015,March,30,223949
2015,March,31,168576
2015,April,1,167082
2015,April,2,202587
2015,April,3,184959
2015,April,4,203376
2015,April,6,269163
2015,April,7,200244
2015,April,8,210490
2015,April,9,176209
2015,April,10,180273
2015,April,11,162112
2015,April,13,250621
2015,April,14,162886
2015,April,15,204902
2015,April,16,188350
2015,April,17,191761
2015,April,18,219252
2015,April,20,229505
2015,April,21,196545
2015,April,22,200346
2015,April,23,194570
2015,April,24,235338
2015,April,25,276713
2015,April,27,319010
2015,April,28,219439
2015,April,29,248921
2015,April,30,226851
2015,May,1,266595
2015,May,2,296114
2015,May,4,433397
2015,May,5,419118
2015,May,6,496564
2015,May,7,548599
2015,May,8,556040
2015,May,9,485560
2015,May,11,728534
2015,May,12,575815
2015,May,13,693007
2015,May,14,726808
2015,May,15,664253
2015,May,16,730287
2015,May,18,938315
2015,May,19,721610
2015,May,20,767996
2015,May,21,578444
2015,May,22,595800
2015,May,23,613760
2015,May,25,638554
2015,May,26,423366
2015,May,27,411215
2015,May,28,427585
2015,May,29,466172
2015,May,30,462199
2015,June,1,591133
2015,June,2,392898
2015,June,3,417986
2015,June,4,489803
2015,June,5,547134
2015,June,6,619048
2015,June,8,730004
2015,June,9,563410
2015,June,10,751308
2015,June,11,702521
2015,June,12,797791
2015,June,13,853378
2015,June,15,987624
2015,June,16,831134
2015,June,17,796164
2015,June,18,800950
2015,June,19,846646
2015,June,20,777447
2015,June,22,903591
2015,June,23,670866
2015,June,24,681597
2015,June,25,715012
2015,June,26,724880
2015,June,27,712717
2015,June,29,900535
2015,June,30,673427
2015,July,1,686555
2015,July,2,766977
2015,July,3,719145
2015,July,4,795820
2015,July,6,1010422
2015,July,7,728360
2015,July,8,649940
2015,July,9,440252
2015,July,10,416560
2015,July,11,563714
2015,July,13,458238
2015,July,14,329645
2015,July,15,489882
2015,July,16,440000
2015,July,17,399160
2015,July,18,380423
2015,July,20,400716
2015,July,21,294810
2015,July,22,418220
2015,July,23,389746
2015,July,24,334534
2015,July,25,417295
2015,July,27,330810
2015,July,28,245748
2015,July,29,378095
2015,July,30,359529
2015,July,31,387123
2015,August,1,123226
2015,August,3,359396
2015,August,4,227359
2015,August,5,230801
2015,August,6,203176
2015,August,7,198855
2015,August,8,176985
2015,August,10,239235
2015,August,11,209987
2015,August,12,190620
2015,August,13,162226
2015,August,14,174508
2015,August,15,132900
2015,August,17,117795
2015,August,18,101585
2015,August,19,98468
2015,August,20,104422
2015,August,21,104615
2015,August,22,118760
2015,August,24,150670
2015,August,25,81870
2015,August,26,67550
2015,August,27,97930
2015,August,28,115983
2015,August,29,144085
2015,August,31,120524
2015,September,1,112615
2015,September,2,130758
2015,September,3,152933
2015,September,4,139503
2015,September,5,144650
2015,September,7,171110
2015,September,8,109440
2015,September,9,111060
2015,September,10,135095
2015,September,11,115735
2015,September,12,112770
2015,September,14,130230
2015,September,15,92490
2015,September,16,92055
2015,September,17,98400
2015,September,18,81595
2015,September,19,80290
2015,September,20,320
2015,September,21,84655
2015,September,22,113391
2015,September,23,172505
2015,September,24,203085
2015,September,25,70555
2015,September,26,5705
2015,September,30,8840
2015,October,1,58710
2015,October,2,24280
2015,October,3,38810
2015,October,5,12925
2015,October,6,41920
2015,October,7,10870
2015,October,8,23565
2015,October,9,3970
2015,October,10,12350
2015,October,12,7260
2015,October,13,12360
2015,October,14,1640
2015,October,15,8680
2015,October,16,4010
2015,October,17,9450
2015,October,19,2590
2015,October,20,3160
2015,October,21,2140
2015,October,22,2720
2015,October,23,590
2015,October,24,6340
2015,October,26,1460
2015,October,27,1210
2015,October,29,480
2015,October,31,400
2015,November,2,1190
2015,November,3,420
2015,November,4,340
2015,November,10,280
2015,November,16,60
2015,December,25,280
2016,January,29,1310
2016,February,2,1546
2016,February,3,450
2016,February,4,1408
2016,February,5,2693
2016,February,6,1921
2016,February,11,7525
2016,February,12,15520
2016,February,13,16796
2016,February,15,17525
2016,February,16,18925
2016,February,17,16015
2016,February,18,19490
2016,February,19,36913
2016,February,20,38517
2016,February,22,67205
2016,February,23,35905
2016,February,24,51490
2016,February,25,64057
2016,February,26,93515
2016,February,27,76294
2016,February,29,102170
2016,March,1,60194
2016,March,2,86832
2016,March,3,124699
2016,March,4,172887
2016,March,5,143354
2016,March,7,247730
2016,March,8,184245
2016,March,9,194172
2016,March,10,155465
2016,March,11,130689
2016,March,12,103172
2016,March,14,115865
2016,March,15,91919
2016,March,16,84885
2016,March,17,55407
2016,March,18,41033
2016,March,19,55741
2016,March,21,85471
2016,March,22,45260
2016,March,23,28746
2016,March,24,27558
2016,March,25,48983
2016,March,26,77006
2016,March,28,66861
2016,March,29,57580
2016,March,30,70311
2016,March,31,72375
2016,April,1,83718
2016,April,2,138185
2016,April,4,169282
2016,April,5,151618
2016,April,6,140152
2016,April,7,97445
2016,April,8,113465
2016,April,9,135857
2016,April,11,148670
2016,April,12,138143
2016,April,13,164285
2016,April,14,188560
2016,April,15,194810
2016,April,16,160859
2016,April,18,239077
2016,April,19,189224
2016,April,20,274329
2016,April,21,266922
2016,April,22,292665
2016,April,23,341765
2016,April,25,454927
2016,April,26,378778
2016,April,27,386380
2016,April,28,374660
2016,April,29,417222
