ds,y
2015-01-20,30.0
2015-01-21,0.0
2015-01-22,0.0
2015-01-23,0.0
2015-01-24,0.0
2015-01-25,0.0
2015-01-26,0.0
2015-01-27,0.0
2015-01-28,0.0
2015-01-29,0.0
2015-01-30,0.0
2015-01-31,40.0
2015-02-01,0.0
2015-02-02,790.0
2015-02-03,0.0
2015-02-04,2045.0
2015-02-05,810.0
2015-02-06,590.0
2015-02-07,2710.0
2015-02-08,0.0
2015-02-09,2570.0
2015-02-10,2495.0
2015-02-11,5160.0
2015-02-12,5390.0
2015-02-13,11042.0
2015-02-14,12845.0
2015-02-15,420.0
2015-02-16,33705.0
2015-02-17,15225.0
2015-02-18,1285.0
2015-02-19,0.0
2015-02-20,0.0
2015-02-21,0.0
2015-02-22,0.0
2015-02-23,40965.0
2015-02-24,30575.0
2015-02-25,27488.0
2015-02-26,21980.0
2015-02-27,27645.0
2015-02-28,32595.0
2015-03-01,0.0
2015-03-02,63251.0
2015-03-03,40820.0
2015-03-04,52758.0
2015-03-05,50916.0
2015-03-06,65959.0
2015-03-07,92976.0
2015-03-08,0.0
2015-03-09,147223.0
2015-03-10,117247.0
2015-03-11,114195.0
2015-03-12,77657.0
2015-03-13,122915.0
2015-03-14,136624.0
2015-03-15,0.0
2015-03-16,168571.0
2015-03-17,97803.0
2015-03-18,74074.0
2015-03-19,63193.0
2015-03-20,100488.0
2015-03-21,116675.0
2015-03-22,0.0
2015-03-23,147330.0
2015-03-24,90310.0
2015-03-25,97050.0
2015-03-26,104376.0
2015-03-27,129056.0
2015-03-28,146608.0
2015-03-29,0.0
2015-03-30,223949.0
2015-03-31,168576.0
2015-04-01,167082.0
2015-04-02,202587.0
2015-04-03,184959.0
2015-04-04,203376.0
2015-04-05,0.0
2015-04-06,269163.0
2015-04-07,200244.0
2015-04-08,210490.0
2015-04-09,176209.0
2015-04-10,180273.0
2015-04-11,162112.0
2015-04-12,0.0
2015-04-13,250621.0
2015-04-14,162886.0
2015-04-15,204902.0
2015-04-16,188350.0
2015-04-17,191761.0
2015-04-18,219252.0
2015-04-19,0.0
2015-04-20,229505.0
2015-04-21,196545.0
2015-04-22,200346.0
2015-04-23,194570.0
2015-04-24,235338.0
2015-04-25,276713.0
2015-04-26,0.0
2015-04-27,319010.0
2015-04-28,219439.0
2015-04-29,248921.0
2015-04-30,226851.0
2015-05-01,266595.0
2015-05-02,296114.0
2015-05-03,0.0
2015-05-04,433397.0
2015-05-05,419118.0
2015-05-06,496564.0
2015-05-07,548599.0
2015-05-08,556040.0
2015-05-09,485560.0
2015-05-10,0.0
2015-05-11,728534.0
2015-05-12,575815.0
2015-05-13,693007.0
2015-05-14,726808.0
2015-05-15,664253.0
2015-05-16,730287.0
2015-05-17,0.0
2015-05-18,890567.5
2015-05-19,721610.0
2015-05-20,767996.0
2015-05-21,578444.0
2015-05-22,595800.0
2015-05-23,613760.0
2015-05-24,0.0
2015-05-25,638554.0
2015-05-26,423366.0
2015-05-27,411215.0
2015-05-28,427585.0
2015-05-29,466172.0
2015-05-30,462199.0
2015-05-31,0.0
2015-06-01,591133.0
2015-06-02,392898.0
2015-06-03,417986.0
2015-06-04,489803.0
2015-06-05,547134.0
2015-06-06,619048.0
2015-06-07,0.0
2015-06-08,730004.0
2015-06-09,563410.0
2015-06-10,751308.0
2015-06-11,702521.0
2015-06-12,797791.0
2015-06-13,853378.0
2015-06-14,0.0
2015-06-15,890567.5
2015-06-16,831134.0
2015-06-17,796164.0
2015-06-18,800950.0
2015-06-19,846646.0
2015-06-20,777447.0
2015-06-21,0.0
2015-06-22,890567.5
2015-06-23,670866.0
2015-06-24,681597.0
2015-06-25,715012.0
2015-06-26,724880.0
2015-06-27,712717.0
2015-06-28,0.0
2015-06-29,890567.5
2015-06-30,673427.0
2015-07-01,686555.0
2015-07-02,766977.0
2015-07-03,719145.0
2015-07-04,795820.0
2015-07-05,0.0
2015-07-06,890567.5
2015-07-07,728360.0
2015-07-08,649940.0
2015-07-09,440252.0
2015-07-10,416560.0
2015-07-11,563714.0
2015-07-12,0.0
2015-07-13,458238.0
2015-07-14,329645.0
2015-07-15,489882.0
2015-07-16,440000.0
2015-07-17,399160.0
2015-07-18,380423.0
2015-07-19,0.0
2015-07-20,400716.0
2015-07-21,294810.0
2015-07-22,418220.0
2015-07-23,389746.0
2015-07-24,334534.0
2015-07-25,417295.0
2015-07-26,0.0
2015-07-27,330810.0
2015-07-28,245748.0
2015-07-29,378095.0
2015-07-30,359529.0
2015-07-31,387123.0
2015-08-01,123226.0
2015-08-02,0.0
2015-08-03,359396.0
2015-08-04,227359.0
2015-08-05,230801.0
2015-08-06,203176.0
2015-08-07,198855.0
2015-08-08,176985.0
2015-08-09,0.0
2015-08-10,239235.0
2015-08-11,209987.0
2015-08-12,190620.0
2015-08-13,162226.0
2015-08-14,174508.0
2015-08-15,132900.0
2015-08-16,0.0
2015-08-17,117795.0
2015-08-18,101585.0
2015-08-19,98468.0
2015-08-20,104422.0
2015-08-21,104615.0
2015-08-22,118760.0
2015-08-23,0.0
2015-08-24,150670.0
2015-08-25,81870.0
2015-08-26,67550.0
2015-08-27,97930.0
2015-08-28,115983.0
2015-08-29,144085.0
2015-08-30,0.0
2015-08-31,120524.0
2015-09-01,112615.0
