y,yhat,ds
0.0,0,2022-01-01
0.0,0,2022-01-02
0.0,0,2022-01-03
0.0,0,2022-01-04
0.0,0,2022-01-05
0.0,0,2022-01-06
150.0,0,2022-01-07
490.0,0,2022-01-08
0.0,0,2022-01-09
0.0,0,2022-01-10
0.0,0,2022-01-11
0.0,0,2022-01-12
310.0,0,2022-01-13
300.0,0,2022-01-14
730.0,0,2022-01-15
0.0,0,2022-01-16
0.0,0,2022-01-17
0.0,0,2022-01-18
380.0,0,2022-01-19
0.0,0,2022-01-20
670.0,0,2022-01-21
0.0,0,2022-01-22
0.0,0,2022-01-23
925.0,0,2022-01-24
0.0,0,2022-01-25
765.0,0,2022-01-26
186.0,0,2022-01-27
593.0,0,2022-01-28
2108.0,0,2022-01-29
0.0,0,2022-01-30
130.0,0,2022-01-31
0.0,0,2022-02-01
0.0,0,2022-02-02
0.0,0,2022-02-03
6590.0,0,2022-02-04
8730.0,0,2022-02-05
0.0,0,2022-02-06
9705.0,0,2022-02-07
10015.0,0,2022-02-08
12545.0,822,2022-02-09
10940.0,6647,2022-02-10
20970.0,16620,2022-02-11
42889.0,13634,2022-02-12
0.0,0,2022-02-13
39492.0,20891,2022-02-14
24231.0,19771,2022-02-15
45115.0,26658,2022-02-16
46319.0,31981,2022-02-17
42360.0,47622,2022-02-18
58749.0,50382,2022-02-19
0.0,0,2022-02-20
79281.0,49527,2022-02-21
34826.0,42931,2022-02-22
74751.0,55732,2022-02-23
69717.0,59687,2022-02-24
0.0,70044,2022-02-25
138224.0,55517,2022-02-26
0.0,0,2022-02-27
104763.0,84417,2022-02-28
87985.0,47412,2022-03-01
196870.0,89698,2022-03-02
167292.0,108071,2022-03-03
177766.0,78084,2022-03-04
189517.0,154517,2022-03-05
0.0,5880,2022-03-06
174002.0,104583,2022-03-07
112580.0,86614,2022-03-08
182531.0,152477,2022-03-09
174267.0,121448,2022-03-10
193155.0,129220,2022-03-11
204574.0,158731,2022-03-12
0.0,0,2022-03-13
156040.0,124413,2022-03-14
97307.0,83827,2022-03-15
128239.0,131151,2022-03-16
90454.0,106620,2022-03-17
133651.0,116501,2022-03-18
170877.0,125777,2022-03-19
0.0,0,2022-03-20
91335.0,108568,2022-03-21
58658.0,50627,2022-03-22
92859.0,88038,2022-03-23
125041.0,69457,2022-03-24
146120.0,108866,2022-03-25
164669.0,134568,2022-03-26
0.0,0,2022-03-27
100245.0,90782,2022-03-28
63870.0,59863,2022-03-29
116973.0,89759,2022-03-30
125319.0,110255,2022-03-31
147608.0,132559,2022-04-01
173646.0,152228,2022-04-02
0.0,0,2022-04-03
116359.0,116764,2022-04-04
118525.0,89623,2022-04-05
153115.0,142039,2022-04-06
196687.0,155683,2022-04-07
204114.0,187218,2022-04-08
246101.0,209363,2022-04-09
0.0,46871,2022-04-10
195090.0,164752,2022-04-11
144731.0,169010,2022-04-12
190840.0,204489,2022-04-13
167829.0,225521,2022-04-14
271026.0,234297,2022-04-15
270685.0,285108,2022-04-16
0.0,77323,2022-04-17
161479.0,236005,2022-04-18
168340.0,203713,2022-04-19
275635.0,256855,2022-04-20
341753.0,264079,2022-04-21
447665.0,353376,2022-04-22
556022.0,383467,2022-04-23
0.0,190081,2022-04-24
385023.0,291163,2022-04-25
375297.0,311604,2022-04-26
454233.0,407233,2022-04-27
393164.0,414355,2022-04-28
551303.0,469558,2022-04-29
616062.0,554009,2022-04-30
0.0,179343,2022-05-01
488876.0,398447,2022-05-02
347972.0,410426,2022-05-03
600904.0,477396,2022-05-04
606759.0,449248,2022-05-05
695889.0,590405,2022-05-06
772260.0,640876,2022-05-07
0.0,192903,2022-05-08
443015.0,484298,2022-05-09
463595.0,378121,2022-05-10
890567.5,561854,2022-05-11
693979.0,596646,2022-05-12
720398.0,648930,2022-05-13
762747.0,684981,2022-05-14
0.0,156966,2022-05-15
503103.0,454994,2022-05-16
389953.0,412684,2022-05-17
0.0,671246,2022-05-18
633336.0,367588,2022-05-19
733537.0,519007,2022-05-20
748715.0,661736,2022-05-21
0.0,59588,2022-05-22
0.0,433095,2022-05-23
553160.0,278076,2022-05-24
733804.0,257089,2022-05-25
803256.0,658401,2022-05-26
801653.0,644263,2022-05-27
882032.0,688090,2022-05-28
0.0,145636,2022-05-29
571683.0,233434,2022-05-30
397191.0,540441,2022-05-31
572796.0,507664,2022-06-01
669469.0,613682,2022-06-02
667170.0,615288,2022-06-03
678869.0,680849,2022-06-04
0.0,70399,2022-06-05
396420.0,384030,2022-06-06
384257.0,365474,2022-06-07
443012.0,495261,2022-06-08
571145.0,509221,2022-06-09
571515.0,548436,2022-06-10
567200.0,557469,2022-06-11
0.0,21747,2022-06-12
433968.0,373176,2022-06-13
388985.0,348437,2022-06-14
630164.0,417383,2022-06-15
697161.0,544063,2022-06-16
656280.0,549577,2022-06-17
664509.0,569924,2022-06-18
0.0,118543,2022-06-19
477495.0,415417,2022-06-20
379944.0,380852,2022-06-21
356374.0,515102,2022-06-22
310725.0,503862,2022-06-23
550005.0,449793,2022-06-24
551080.0,523754,2022-06-25
0.0,57641,2022-06-26
372140.0,399926,2022-06-27
312220.0,338596,2022-06-28
380090.0,385047,2022-06-29
419063.0,356936,2022-06-30
490585.0,486711,2022-07-01
453145.0,494476,2022-07-02
0.0,32848,2022-07-03
302940.0,348569,2022-07-04
263550.0,294159,2022-07-05
323125.0,331232,2022-07-06
307975.0,346766,2022-07-07
351790.0,405116,2022-07-08
327000.0,387544,2022-07-09
0.0,9951,2022-07-10
169965.0,289033,2022-07-11
186848.0,214338,2022-07-12
151507.0,266629,2022-07-13
217525.0,248203,2022-07-14
202555.0,278811,2022-07-15
179805.0,262704,2022-07-16
0.0,0,2022-07-17
66255.0,171721,2022-07-18
0.0,143279,2022-07-19
93130.0,110609,2022-07-20
78965.0,168842,2022-07-21
103930.0,151394,2022-07-22
130105.0,137040,2022-07-23
0.0,0,2022-07-24
64375.0,88342,2022-07-25
59450.0,41143,2022-07-26
61552.0,94436,2022-07-27
96035.0,95211,2022-07-28
74838.0,102703,2022-07-29
90400.0,100136,2022-07-30
0.0,0,2022-07-31
21470.0,54673,2022-08-01
46105.0,25609,2022-08-02
41915.0,49677,2022-08-03
50960.0,66439,2022-08-04
58885.0,52607,2022-08-05
9020.0,66832,2022-08-06
0.0,0,2022-08-07
71285.0,16849,2022-08-08
61860.0,33904,2022-08-09
39075.0,29230,2022-08-10
20500.0,39629,2022-08-11
33790.0,36693,2022-08-12
21895.0,8641,2022-08-13
0.0,0,2022-08-14
9005.0,32337,2022-08-15
9795.0,18028,2022-08-16
3870.0,5218,2022-08-17
10890.0,6971,2022-08-18
30075.0,23668,2022-08-19
6765.0,6328,2022-08-20
0.0,0,2022-08-21
4640.0,16307,2022-08-22
3150.0,6528,2022-08-23
3375.0,3941,2022-08-24
2885.0,10500,2022-08-25
15730.0,25435,2022-08-26
16505.0,6697,2022-08-27
0.0,0,2022-08-28
2680.0,15938,2022-08-29
1240.0,6874,2022-08-30
5310.0,9723,2022-08-31
5650.0,15960,2022-09-01
4330.0,29472,2022-09-02
3515.0,15909,2022-09-03
0.0,0,2022-09-04
5385.0,16163,2022-09-05
2282.0,6934,2022-09-06
7476.0,12586,2022-09-07
15052.0,16458,2022-09-08
3290.0,23950,2022-09-09
0.0,12223,2022-09-10
0.0,0,2022-09-11
0.0,14175,2022-09-12
1390.0,1159,2022-09-13
7600.0,5773,2022-09-14
9130.0,14467,2022-09-15
7250.0,11034,2022-09-16
13120.0,954,2022-09-17
0.0,0,2022-09-18
1060.0,3656,2022-09-19
7090.0,0,2022-09-20
3090.0,0,2022-09-21
8165.0,1440,2022-09-22
5960.0,871,2022-09-23
8780.0,0,2022-09-24
0.0,0,2022-09-25
750.0,0,2022-09-26
1910.0,0,2022-09-27
6685.0,0,2022-09-28
12920.0,0,2022-09-29
4060.0,0,2022-09-30
9135.0,0,2022-10-01
0.0,0,2022-10-02
370.0,0,2022-10-03
460.0,0,2022-10-04
3210.0,0,2022-10-05
3830.0,0,2022-10-06
920.0,0,2022-10-07
2540.0,0,2022-10-08
0.0,0,2022-10-09
80.0,0,2022-10-10
2610.0,0,2022-10-11
750.0,0,2022-10-12
1665.0,0,2022-10-13
915.0,0,2022-10-14
2240.0,0,2022-10-15
0.0,0,2022-10-16
0.0,0,2022-10-17
590.0,0,2022-10-18
0.0,0,2022-10-19
0.0,0,2022-10-20
580.0,0,2022-10-21
670.0,0,2022-10-22
0.0,0,2022-10-23
80.0,0,2022-10-24
0.0,0,2022-10-25
0.0,0,2022-10-26
350.0,0,2022-10-27
740.0,0,2022-10-28
930.0,0,2022-10-29
0.0,0,2022-10-30
0.0,0,2022-10-31
530.0,0,2022-11-01
0.0,0,2022-11-02
0.0,0,2022-11-03
0.0,0,2022-11-04
0.0,0,2022-11-05
0.0,0,2022-11-06
0.0,0,2022-11-07
0.0,0,2022-11-08
0.0,0,2022-11-09
0.0,0,2022-11-10
0.0,0,2022-11-11
0.0,0,2022-11-12
0.0,0,2022-11-13
0.0,0,2022-11-14
0.0,0,2022-11-15
860.0,0,2022-11-16
1170.0,0,2022-11-17
730.0,0,2022-11-18
1770.0,0,2022-11-19
0.0,0,2022-11-20
0.0,0,2022-11-21
0.0,0,2022-11-22
1350.0,0,2022-11-23
390.0,0,2022-11-24
670.0,0,2022-11-25
1340.0,0,2022-11-26
0.0,0,2022-11-27
0.0,0,2022-11-28
0.0,0,2022-11-29
345.0,0,2022-11-30
1330.0,0,2022-12-01
72.0,0,2022-12-02
260.0,0,2022-12-03
0.0,0,2022-12-04
0.0,0,2022-12-05
0.0,0,2022-12-06
270.0,0,2022-12-07
24.0,0,2022-12-08
24.0,0,2022-12-09
180.0,0,2022-12-10
0.0,0,2022-12-11
0.0,0,2022-12-12
0.0,0,2022-12-13
804.0,0,2022-12-14
694.0,0,2022-12-15
430.0,0,2022-12-16
0.0,0,2022-12-17
0.0,0,2022-12-18
868.0,0,2022-12-19
10.0,0,2022-12-20
850.0,0,2022-12-21
0.0,0,2022-12-22
40.0,0,2022-12-23
840.0,0,2022-12-24
0.0,0,2022-12-25
720.0,0,2022-12-26
0.0,0,2022-12-27
130.0,0,2022-12-28
340.0,0,2022-12-29
0.0,0,2022-12-30
935.0,0,2022-12-31
